person_id,first_name,last_name,theme_name,group_code,country
197401,Karin,Karlsbro,ProUkraineSovereignty,RENEW,SWE
197401,Karin,Karlsbro,DefendEuropeanValues,RENEW,SWE
23781,Janusz,Lewandowski,DefendEuropeanValues,EPP,POL
220871,Rihards,Kols,ProUkraineSovereignty,ECR,LVA
220871,Rihards,Kols,DefendEuropeanValues,ECR,LVA
197549,Markéta,Gregorová,DefendEuropeanValues,GREEN_EFA,CZE
257011,Lucia,Yar,DefendEuropeanValues,RENEW,SVK
124802,Siegfried,Mureşan,DefendEuropeanValues,EPP,ROU
37312,Christel,Schaldemose,DefendEuropeanValues,SD,DNK
257110,Dan,Barna,DefendEuropeanValues,RENEW,ROU
257005,Ľuboš,Blaha,DefendEuropeanValues,NI,SVK
197391,Heléne,Fritzon,DefendEuropeanValues,SD,SWE
257097,Alberico,Gambino,DefendEuropeanValues,ECR,ITA
197694,Raphaël,Glucksmann,DefendEuropeanValues,SD,FRA
256811,Aurelijus,Veryga,DefendEuropeanValues,ECR,LTU
256804,Pekka,Toveri,DefendEuropeanValues,EPP,FIN
256806,Sebastian,Tynkkynen,ProUkraineSovereignty,ECR,FIN
256806,Sebastian,Tynkkynen,DefendEuropeanValues,ECR,FIN
257026,Michał,Szczerba,ProUkraineSovereignty,EPP,POL
197392,Evin,Incir,ProUkraineSovereignty,SD,SWE
197392,Evin,Incir,DefendEuropeanValues,SD,SWE
185341,Željana,Zovko,DefendEuropeanValues,EPP,HRV
256807,Dainius,Žalimas,ProUkraineSovereignty,RENEW,LTU
219652,Matej,Tonin,DefendEuropeanValues,EPP,SVN
2341,Michael,Gahler,DefendEuropeanValues,EPP,DEU
197460,Sergey,Lagodinsky,ProUkraineSovereignty,GREEN_EFA,DEU
197460,Sergey,Lagodinsky,DefendEuropeanValues,GREEN_EFA,DEU
256938,Tobias,Cremer,DefendEuropeanValues,SD,DEU
23788,Adam,Bielan,ProUkraineSovereignty,ECR,POL
23788,Adam,Bielan,DefendEuropeanValues,ECR,POL
256907,Reinis,Pozņaks,DefendEuropeanValues,ECR,LVA
256841,Helmut,Brandstätter,ProUkraineSovereignty,RENEW,AUT
256841,Helmut,Brandstätter,DefendEuropeanValues,RENEW,AUT
257260,Petar,Volgin,ProUkraineSovereignty,ESN,BGR
130100,Hilde,Vautmans,StrengthenSanctions,RENEW,BEL
130100,Hilde,Vautmans,ProUkraineSovereignty,RENEW,BEL
197543,Bernard,Guetta,DefendEuropeanValues,RENEW,FRA
112744,Tonino,Picula,StrengthenSanctions,SD,HRV
135511,Valérie,Hayer,ProUkraineSovereignty,RENEW,FRA
135511,Valérie,Hayer,DefendEuropeanValues,RENEW,FRA
103381,Terry,Reintke,ProUkraineSovereignty,GREEN_EFA,DEU
197514,Andrzej,Halicki,DefendEuropeanValues,EPP,POL
197497,Sven,Mikser,ProUkraineSovereignty,SD,EST
190713,Lukas,Mandl,DefendEuropeanValues,EPP,AUT
96681,Vilija,Blinkevičiūtė,DefendEuropeanValues,SD,LTU
96668,Seán,Kelly,ProUkraineSovereignty,EPP,IRL
96668,Seán,Kelly,DefendEuropeanValues,EPP,IRL
256900,Fernand,Kartheiser,DefendEuropeanValues,ECR,LUX
